epoch,Tmid_BTJD,sigma_days,win_1sigma_hr,win_2sigma_hr,win_3sigma_hr
0,2030.4670829693594,0.002287428539512503,0.05489828494830007,0.10979656989660014,0.1646948548449002
1,2067.133724376578,0.002299650077118422,0.05519160185084213,0.11038320370168427,0.1655748055525264
2,2103.8003657837967,0.0023359310646151677,0.056062345550764024,0.11212469110152805,0.16818703665229207
3,2140.4670071910155,0.0023951784292003094,0.057484282300807425,0.11496856460161485,0.17245284690242227
4,2177.1336485982342,0.0024757438850591344,0.059417853241419225,0.11883570648283845,0.17825355972425766
5,2213.800290005453,0.0025756277232429872,0.0618150653578317,0.1236301307156634,0.18544519607349508
6,2250.466931412672,0.0026926809801194307,0.06462434352286633,0.12924868704573267,0.193873030568599
7,2287.13357281989,0.0028247700544088445,0.06779448130581227,0.13558896261162454,0.2033834439174368
8,2323.800214227109,0.0029698894200797907,0.07127734608191498,0.14255469216382996,0.21383203824574493
9,2360.4668556343277,0.0031262250050736484,0.07502940012176756,0.15005880024353513,0.2250882003653027
10,2397.1334970415464,0.0032921793245238805,0.07901230378857313,0.15802460757714626,0.2370369113657194
11,2433.800138448765,0.0034663711478902857,0.08319290754936685,0.1663858150987337,0.24957872264810055
12,2470.466779855984,0.003647620522019642,0.08754289252847142,0.17508578505694283,0.26262867758541425
13,2507.1334212632028,0.0038349268986540537,0.0920382455676973,0.1840764911353946,0.2761147367030919
14,2543.800062670421,0.004027445278462623,0.09665868668310296,0.1933173733662059,0.28997606004930887
15,2580.46670407764,0.0042244631530681245,0.10138711567363498,0.20277423134726996,0.3041613470209049
16,2617.1333454848586,0.004425379610821946,0.10620911065972671,0.21241822131945343,0.31862733197918014
17,2653.7999868920774,0.004629687114239563,0.1111124907417495,0.222224981483499,0.3333374722252485
18,2690.466628299296,0.004836955980703362,0.11608694353688068,0.23217388707376135,0.34826083061064206
19,2727.1332697065145,0.0050468213610546115,0.12112371266531068,0.24224742533062135,0.363371137995932
20,2763.7999111137333,0.00525897241380492,0.12621533793131806,0.2524306758626361,0.3786460137939542
21,2800.466552520952,0.005473143352366544,0.13135544045679703,0.26271088091359407,0.3940663213703911
22,2837.133193928171,0.005689106060672095,0.13653854545613028,0.27307709091226057,0.4096156363683908
23,2873.7998353353896,0.005906664006969311,0.14175993616726346,0.2835198723345269,0.42527980850179037
24,2910.4664767426084,0.00612564722462096,0.14701553339090306,0.2940310667818061,0.4410466001727092
25,2947.133118149827,0.006345908166481383,0.1523017959955532,0.3046035919911064,0.45690538798665964
26,2983.799759557046,0.00656731827323396,0.15761563855761504,0.3152312771152301,0.4728469156728451
27,3020.4664009642643,0.006789765125106993,0.16295436300256783,0.32590872600513565,0.4888630890077035
28,3057.133042371483,0.007013150070682545,0.16831560169638107,0.33663120339276215,0.5049468050891432
29,3093.799683778702,0.007237386246521525,0.1736972699165166,0.3473945398330332,0.5210918097495498
30,3130.4663251859206,0.0074623969176392775,0.17909752602334267,0.35819505204668534,0.537292578070028
