TIC_ID_norm,toi,Tmag,Teff_K,Rstar_Rsun,P_d,P_err_d,T0_btjd,T0_err_d,drift_1yr_hr,drift_2yr_hr,needs_update
119584412,1801.01,9.85623,3815.0,0.545591,10.6439385,6.87e-05,2459648.619735,0.002932,0.09029311827786513,0.1332532272080574,False
37749396,260.01,8.4991,4049.0,0.618173,13.4758478,2.19e-05,2458392.294018,0.001904,0.047865119887771326,0.0538507712060179,False
311183180,550.02,9.1073,5055.34,0.693406,13.24981,,2459168.32491,0.00012,0.00288,0.00288,False
62483237,139.01,9.3636,4405.0,0.700727,11.0708575,2.77e-05,2458334.891563,0.001381,0.03974399972329615,0.05497970396447634,False
16884216,2023.01,8.5049,4958.0,0.695992,11.1900486,0.0049587,2458964.128568,0.003645,3.8855046041412966,7.76953189478059,True
22903436,7032.01,8.1532,4526.0,0.722286,17.7456043,6.2e-05,2460397.022821,0.001656,0.0501755878027355,0.07301781862942824,False
4646810,461.01,8.8723,4884.0,0.74413,10.9245478,3.97e-05,2458416.351956,0.001589,0.04969050646194405,0.07425309583968881,False
77175217,4328.01,7.7679,4709.0,0.739835,703.79367,0.0016714,2458459.446061,0.002189,0.05651031266493868,0.06703407985462706,False
31374837,431.01,8.1705,4891.0,0.726632,12.4610086,1.32e-05,2458440.630295,0.000482,0.014833942422107959,0.021879842758339388,False
271478281,2194.01,7.4259,4669.0,0.690927,15.3419095,4.54e-05,2460141.982191,0.001805,0.05049287648910307,0.06758886820013535,False
121490076,6726.01,8.9988,4760.0,0.757341,14.2456603,4.1e-05,2460160.495921,0.002794,0.0716450800679866,0.08391989384998556,False
27491137,2076.01,8.3745,5163.0,0.772148,10.3563596,2.08e-05,2459675.695029,0.001782,0.04625006758664207,0.05539828097581943,False
120896927,402.02,8.3157,5175.2,0.841842,4.7559737,1.85e-05,2459139.126535,0.002701,0.07324513988135453,0.09409011179160524,False
219344917,871.01,9.7607,4917.0,0.732189,14.362738,6.84e-05,2458417.051084,0.002071,0.06490962917662552,0.09716777753652772,False
153077621,454.01,9.441,,0.296,18.0826084,2.79e-05,2458396.13818,0.000862,0.024716899771022663,0.03405466935918069,False
234345288,213.01,9.7806,4566.4,0.672062,23.5199045,6.22e-05,2460177.887219,0.003301,0.08254611228403001,0.0917938782535674,False
425997655,174.03,8.7513,4813.0,0.691374,17.6671687,2.92e-05,2460180.378105,0.001773,0.04495090071212646,0.05148121781121541,False
12421862,198.01,9.92801,3782.0,0.447336,10.2150168,5.24e-05,2458356.3672,0.001528,0.0580246876769905,0.09712337910127083,False
237222864,1255.01,9.1416,5126.0,0.865815,10.288886,7.6e-06,2460646.544681,0.000665,0.01722348870390183,0.020553088637324954,False
303317324,4310.01,9.4961,4159.0,0.721084,739.1670007,0.0040522,2458365.181534,0.002943,0.08542997963683199,0.11927483980705283,False
