rank,toi,tic,ra_deg,dec_deg,Tmag,Teff_K,sectors_initial,sectors_current,n_current,new_sectors,n_new,TIC_ID_norm,Rstar_Rsun,contam_ratio,crowding,rank_score,justification
1,1801.01,119584412,175.576558603723,23.0268551086495,9.85623,3815.0,,22;49,2,22;49,2,119584412,0.545591,0.000276353385,0.9997237229650937,0.9864490354104839,R*~0.55 R☉; contam~0.00; crowding~1.00; Tmag~9.9
2,260.01,37749396,4.77317781082742,-9.9648526229289,8.4991,4049.0,,3;42;70,3,3;42;70,3,37749396,0.618173,0.0002444534,0.9997556063428605,0.9827509751722107,R*~0.62 R☉; contam~0.00; crowding~1.00; Tmag~8.5
3,550.02,311183180,55.0315008726919,5.87457852235374,9.1073,5055.34,,5;31,2,5;31,2,311183180,0.693406,3.827464e-05,0.9999617268248919,0.9793331538219741,R*~0.69 R☉; contam~0.00; crowding~1.00; Tmag~9.1
4,139.01,62483237,336.402275661873,-34.9095828487391,9.3636,4405.0,,1;28;68;95,4,1;28;68;95,4,62483237,0.700727,0.000145170634,0.9998548504374539,0.9786959757263888,R*~0.70 R☉; contam~0.00; crowding~1.00; Tmag~9.4
5,2023.01,16884216,232.863124006262,33.9020325610829,8.5049,4958.0,,24;50;51;77;78,5,24;50;51;77;78,5,16884216,0.695992,0.000409036438,0.9995911308043993,0.9783092737660677,R*~0.70 R☉; contam~0.00; crowding~1.00; Tmag~8.5
6,7032.01,22903436,205.846147430331,39.2491359927199,8.1532,4526.0,,23;49;50;76;77,5,23;49;50;76;77,5,22903436,0.722286,0.000263600872,0.9997364685951081,0.9772907143660665,R*~0.72 R☉; contam~0.00; crowding~1.00; Tmag~8.2
7,461.01,4646810,38.2720107613926,-10.3517812968532,8.8723,4884.0,,4;31,2,4;31,2,4646810,0.74413,4.16099865e-05,0.999958391744819,0.9766872823013346,R*~0.74 R☉; contam~0.00; crowding~1.00; Tmag~8.9
8,4328.01,77175217,68.2889280079045,-36.946045844082,7.7679,4709.0,,4;5;31;32,4,4;5;31;32,4,77175217,0.739835,0.0002032757,0.9997967656126124,0.9765227988034901,R*~0.74 R☉; contam~0.00; crowding~1.00; Tmag~7.8
9,431.01,31374837,83.2691692124703,-26.7245189650937,8.1705,4891.0,,5;6;32,3,5;6;32,3,31374837,0.726632,0.0008505397,0.9991501831030086,0.9756571241898352,R*~0.73 R☉; contam~0.00; crowding~1.00; Tmag~8.2
10,2194.01,271478281,299.15427555454,-31.3353176998663,7.4259,4669.0,,27;67;92;94,4,27;67;92;94,4,271478281,0.690927,0.0017109405,0.9982919818174832,0.9754517939436563,R*~0.69 R☉; contam~0.00; crowding~1.00; Tmag~7.4
11,6726.01,121490076,343.572367536661,-43.0103478177084,8.9988,4760.0,,1;28;68;95;96,5,1;28;68;95;96,5,121490076,0.757341,0.000515577151,0.9994846885318187,0.9748633351425815,R*~0.76 R☉; contam~0.00; crowding~1.00; Tmag~9.0
12,2076.01,27491137,217.392678387443,39.7904291644655,8.3745,5163.0,,16;23;50;77,4,16;23;50;77,4,27491137,0.772148,0.0002954656,0.9997046216741342,0.974621238081133,R*~0.77 R☉; contam~0.00; crowding~1.00; Tmag~8.4
13,402.02,120896927,36.8682422177703,-27.6352060324125,8.3157,5175.2,,3;4;30,3,3;4;30,3,120896927,0.841842,5.07358382e-05,0.9999492667357947,0.9715839372520023,R*~0.84 R☉; contam~0.00; crowding~1.00; Tmag~8.3
14,871.01,219344917,74.7381650057409,-50.6268912602156,9.7607,4917.0,,4;5;6;30;31;32,6,4;5;6;30;31;32,6,219344917,0.732189,0.00260085962,0.9974058873029634,0.9711746457657189,R*~0.73 R☉; contam~0.00; crowding~1.00; Tmag~9.8
15,454.01,153077621,49.6602340896956,-42.6423563078223,9.441,,,3;4;30;31,4,3;4;30;31,4,153077621,0.296,,,0.9694149587707708,R*~0.30 R☉; Tmag~9.4
16,213.01,234345288,38.8865965937357,-71.6241615715871,9.7806,4566.4,,1;2;13;27;28;29;67;69;94;95;96,11,1;2;13;27;28;29;67;69;94;95;96,11,234345288,0.672062,0.00542781129,0.9946014907991894,0.9675414050777477,R*~0.67 R☉; contam~0.01; crowding~0.99; Tmag~9.8
17,174.03,425997655,55.459996445454,-62.7670776592764,8.7513,4813.0,,1;2;3;4;11;29;30;31;34;61;64;65;68;69;95;96,16,1;2;3;4;11;29;30;31;34;61;64;65;68;69;95;96,16,425997655,0.691374,0.005562642,0.9944681298134385,0.9662150691679581,R*~0.69 R☉; contam~0.01; crowding~0.99; Tmag~8.8
18,198.01,12421862,2.26815992112666,-27.1221332878693,9.92801,3782.0,,2;29;69;96,4,2;29;69;96,4,12421862,0.447336,0.0113949934,0.9887333895516989,0.9650102379608729,R*~0.45 R☉; contam~0.01; crowding~0.99; Tmag~9.9
19,1255.01,237222864,296.244328418828,74.0627370514966,9.1416,5126.0,,14;15;16;17;19;20;21;22;23;24;25;26;40;41;47;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,41,14;15;16;17;19;20;21;22;23;24;25;26;40;41;47;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,41,237222864,0.865815,0.00247925683,0.997526874682834,0.9645166548972972,R*~0.87 R☉; contam~0.00; crowding~1.00; Tmag~9.1
20,4310.01,303317324,351.903691918406,-25.5080853104303,9.4961,4159.0,,2;29;69;96,4,2;29;69;96,4,303317324,0.721084,0.0058212867,0.994212404552404,0.9640523764716159,R*~0.72 R☉; contam~0.01; crowding~0.99; Tmag~9.5
21,2134.02,75878355,271.935199907964,39.0741455675824,7.7945,4406.0,,26;40;52;53;54;74;79;80,8,26;40;52;53;54;74;79;80,8,75878355,0.769698,0.00489397,0.9951298642980215,0.9637392767943556,R*~0.77 R☉; contam~0.00; crowding~1.00; Tmag~7.8
22,776.01,306996324,178.576633271141,-37.5527322695786,9.73597,3747.0,,10;37;63;90,4,10;37;63;90,4,306996324,0.533024,0.010056,0.9900441163658252,0.9637384518084597,R*~0.53 R☉; contam~0.01; crowding~0.99; Tmag~9.7
23,2443.01,318753380,40.1786377042911,1.19867771937372,8.2969,4214.44,,4;31,2,4;31,2,318753380,0.732115,0.00682086544,0.9932253435798442,0.9610929590186772,R*~0.73 R☉; contam~0.01; crowding~0.99; Tmag~8.3
24,1611.01,264678534,325.186593328032,84.3334897046016,7.5825,5071.0,,18;19;20;25;26;40;52;53;58;59;60;73;78;79;85;86,16,18;19;20;25;26;40;52;53;58;59;60;73;78;79;85;86,16,264678534,0.780338,0.00821350049,0.9918534115184848,0.9552645253569935,R*~0.78 R☉; contam~0.01; crowding~0.99; Tmag~7.6
25,2540.01,354518617,82.5583509861579,-42.6973273815774,8.2731,4023.0,,5;6;32;33,4,5;6;32;33,4,354518617,0.661076,0.0124551421,0.9876980800609437,0.9513760622266081,R*~0.66 R☉; contam~0.01; crowding~0.99; Tmag~8.3
26,4590.01,154923406,203.20077114242,84.5148717562498,9.6446,5011.0,,14;19;20;21;26;40;47;52;53;59;60;73;74;79;86,15,14;19;20;21;26;40;47;52;53;59;60;73;74;79;86,15,154923406,0.786678,0.00986339152,0.9902329447697337,0.9510056799403235,R*~0.79 R☉; contam~0.01; crowding~0.99; Tmag~9.6
27,2482.01,117938087,71.5184326590382,-15.3433605544139,9.6254,,,5;32,2,5;32,2,117938087,,,,0.9465234179161426,Tmag~9.6
28,1947.01,460140752,156.738444720368,-60.6652620906713,8.9301,,,10;11;36;37;63;64;90,7,10;11;36;37;63;64;90,7,460140752,,,,0.9465234179161426,Tmag~8.9
29,1030.01,464296022,155.831687930156,-57.5903451121075,9.5706,,,9;10;36;37;63;64;90,7,9;10;36;37;63;64;90,7,464296022,,,,0.9465234179161426,Tmag~9.6
30,1405.01,387834907,315.669066292437,70.0803072311969,8.4239,,,16;17;18;24;25;52;56;57;58;59;76;77;78;79;83;84;85;86,18,16;17;18;24;25;52;56;57;58;59;76;77;78;79;83;84;85;86,18,387834907,,,,0.9465234179161426,Tmag~8.4
31,5076.01,303432813,50.5096556480399,17.2399670241529,9.9909,4794.37,,42;43;44;70;71,5,42;43;44;70;71,5,303432813,0.850313,0.0132526327,0.9869207024267128,0.9396416153367521,R*~0.85 R☉; contam~0.01; crowding~0.99; Tmag~10.0
32,7062.01,23961340,313.29190261864,-9.04392998293826,8.863,4942.0,,81;92,2,81;92,2,23961340,0.765975,0.0168593582,0.9834201671410648,0.9354801710446498,R*~0.77 R☉; contam~0.02; crowding~0.98; Tmag~8.9
33,2105.01,156199502,181.07387935533,83.4376532752374,9.8565,4718.0,,14;19;20;21;26;40;41;53;59;60;73;74,12,14;19;20;21;26;40;41;53;59;60;73;74,12,156199502,0.821067,0.0157865211,0.9844588200649634,0.9351550097882211,R*~0.82 R☉; contam~0.02; crowding~0.98; Tmag~9.9
