toi,tic,ra_deg,dec_deg,Tmag,Teff_K,sectors_initial,sectors_current,n_current,new_sectors,n_new
1487.01,459978312,255.565616247128,64.6007401529704,5.28906,,,14;15;16;17;18;19;20;21;22;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;74;75;76;77;78;79;80;81;82;83;84;85;86,41,14;15;16;17;18;19;20;21;22;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;74;75;76;77;78;79;80;81;82;83;84;85;86,41
5789.01,87216634,302.775306540214,16.1879981024362,6.5715,,,54;81,2,54;81,2
186.01,279741379,51.746761965648,-63.4991005063024,6.9934,,,1;2;3;4;28;29;30;34;61;64;68;69;88;95;96,15,1;2;3;4;28;29;30;34;61;64;68;69;88;95;96,15
2009.01,243187830,16.9078099863319,22.9549795304899,7.3551,,,17;57;84,3,17;57;84,3
197.01,441462736,353.033635022551,-21.801421336347,7.3566,,,2;29;96,3,2;29;96,3
2194.01,271478281,299.15427555454,-31.3353176998663,7.4259,,,27;67;92;94,4,27;67;92;94,4
1611.01,264678534,325.186593328032,84.3334897046016,7.5825,,,18;19;20;25;26;40;52;53;58;59;60;73;78;79;85;86,16,18;19;20;25;26;40;52;53;58;59;60;73;78;79;85;86,16
4328.01,77175217,68.2889280079045,-36.946045844082,7.7679,,,4;5;31;32,4,4;5;31;32,4
2134.02,75878355,271.935199907964,39.0741455675824,7.7945,,,26;40;52;53;54;74;79;80,8,26;40;52;53;54;74;79;80,8
1793.01,304142124,164.859599011725,-56.623040907531,7.8436,,,10;36;37;63;64;90,6,10;36;37;63;64;90,6
7032.01,22903436,205.846147430331,39.2491359927199,8.1532,,,23;49;50;76;77,5,23;49;50;76;77,5
431.01,31374837,83.2691692124703,-26.7245189650937,8.1705,,,5;6;32,3,5;6;32,3
2540.01,354518617,82.5583509861579,-42.6973273815774,8.2731,,,5;6;32;33,4,5;6;32;33,4
2443.01,318753380,40.1786377042911,1.19867771937372,8.2969,,,4;31,2,4;31,2
402.02,120896927,36.8682422177703,-27.6352060324125,8.3157,,,3;4;30,3,3;4;30,3
2076.01,27491137,217.392678387443,39.7904291644655,8.3745,,,16;23;50;77,4,16;23;50;77,4
1405.01,387834907,315.669066292437,70.0803072311969,8.4239,,,16;17;18;24;25;52;56;57;58;59;76;77;78;79;83;84;85;86,18,16;17;18;24;25;52;56;57;58;59;76;77;78;79;83;84;85;86,18
260.01,37749396,4.77317781082742,-9.9648526229289,8.4991,,,3;42;70,3,3;42;70,3
2023.01,16884216,232.863124006262,33.9020325610829,8.5049,,,24;50;51;77;78,5,24;50;51;77;78,5
560.02,101011575,129.688585068666,-13.2566919334745,8.5925,,,8;34;61;88,4,8;34;61;88,4
1643.01,298647682,272.264605912656,53.2176337531872,8.6628,,,14;15;18;21;24;25;26;40;41;48;51;52;53;54;55;56;57;58;59;60;73;74;75;78;79;81;82;84;85;86,30,14;15;18;21;24;25;26;40;41;48;51;52;53;54;55;56;57;58;59;60;73;74;75;78;79;81;82;84;85;86,30
